2026-09-04T14:26:10 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-04T14:26:10 | INFO     | app.main                       | lifespan             | Frames directory: data\frames
2026-09-04T14:26:10 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-04T14:26:10 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-04T14:26:13 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-04T14:35:23 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | Database initialized
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | Event bus ready (11 event types)
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | WebSocket heartbeat started (interval=5s)
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | Frames directory: data\frames
2026-09-04T14:35:23 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-04T14:35:23 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-04T14:35:26 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-18T10:40:05 | INFO     | root                           | setup_logging        | Logging configured: level=INFO, dir=logs
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | SpliceTracker starting up
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | Database initialized
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | Event bus ready (11 event types)
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | WebSocket heartbeat started (interval=5s)
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | SIMULATION_MODE is enabled — starting simulation
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | Frames directory: data\frames
2026-09-18T10:40:05 | INFO     | app.main                       | lifespan             | SpliceTracker ready
2026-09-18T10:40:05 | INFO     | app.simulation                 | _run_simulation      | Simulation started: splices=5, interval=10.0s, anomaly_prob=0.15
2026-09-18T10:40:55 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-18T10:40:55 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-18T10:41:51 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-18T10:41:52 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 4
2026-09-18T13:56:38 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 3
2026-09-18T13:56:38 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-18T13:56:38 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 1
2026-09-18T13:56:38 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-18T14:24:54 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-18T14:24:54 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 0
2026-09-18T14:26:31 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 1
2026-09-18T14:26:40 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 2
2026-09-18T14:27:11 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-18T14:27:51 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-18T14:28:07 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-18T14:28:47 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-18T14:50:42 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
2026-09-18T14:51:22 | INFO     | app.api.websocket              | disconnect           | WebSocket client disconnected. Total: 2
2026-09-18T14:54:32 | INFO     | app.api.websocket              | connect              | WebSocket client connected. Total: 3
